,customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Charges.Daily
58,0098-BOWSO,False,Male,False,False,False,27,True,False,No,False,False,False,False,False,False,Month-to-month,True,Electronic check,19.4,529.8,0.64
59,0100-DUVFC,False,Male,True,True,False,70,True,True,Fiber optic,False,True,True,False,True,True,One year,True,Electronic check,104.8,7308.95,3.44
60,0103-CSITQ,False,Female,False,True,False,57,True,True,Fiber optic,False,True,True,True,True,True,One year,True,Bank transfer (automatic),109.4,6252.7,3.59
61,0104-PPXDV,False,Male,False,True,False,58,True,False,DSL,False,False,True,False,False,False,One year,False,Credit card (automatic),50.3,2878.55,1.65
62,0106-GHRQR,False,Male,False,False,False,16,True,True,DSL,False,True,True,False,False,True,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,2.35
63,0106-UGRDO,False,Female,False,True,False,69,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,116.0,8182.85,3.81
64,0107-WESLM,True,Male,False,False,False,1,True,False,No,False,False,False,False,False,False,Month-to-month,True,Electronic check,19.85,19.85,0.65
65,0107-YHINA,True,Male,False,False,True,1,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.75,99.75,3.28
66,0111-KLBQG,False,Male,True,True,True,32,True,False,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Mailed check,93.95,2861.45,3.09
67,0112-QAWRZ,False,Male,False,True,True,16,True,True,Fiber optic,False,False,True,False,True,False,Month-to-month,True,Bank transfer (automatic),90.8,1442.2,2.98
68,0112-QWPNC,True,Male,False,True,False,49,True,True,DSL,True,False,True,True,True,True,One year,False,Electronic check,84.35,4059.35,2.77
69,0114-IGABW,False,Female,False,True,False,71,False,False,DSL,False,True,True,True,True,True,Two year,False,Bank transfer (automatic),58.25,4145.9,1.91
70,0114-PEGZZ,False,Female,False,False,False,33,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,False,Electronic check,107.55,3645.5,3.53
71,0114-RSRRW,False,Female,False,True,False,10,True,False,No,False,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),19.95,187.75,0.66
72,0115-TFERT,True,Male,False,True,False,21,True,True,Fiber optic,False,True,True,True,True,True,Month-to-month,True,Electronic check,111.2,2317.1,3.65
73,0117-LFRMW,True,Male,False,True,True,37,False,False,DSL,True,True,True,False,False,False,Month-to-month,False,Bank transfer (automatic),40.2,1448.8,1.32
74,0118-JPNOY,False,Female,True,False,False,26,True,False,Fiber optic,True,False,False,False,True,False,Month-to-month,True,Credit card (automatic),85.8,2193.65,2.82
76,0121-SNYRK,False,Male,False,False,False,50,False,False,DSL,True,False,False,True,False,False,One year,True,Mailed check,35.4,1748.9,1.16
77,0122-OAHPZ,True,Female,False,False,False,7,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,73.85,511.25,2.43
78,0123-CRBRT,False,Female,False,True,True,61,True,True,DSL,True,True,True,True,True,True,Two year,False,Mailed check,88.1,5526.75,2.89
79,0125-LZQXK,True,Male,False,False,False,15,True,False,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,101.35,1553.95,3.33
80,0128-MKWSG,False,Female,False,False,True,26,False,False,DSL,True,False,False,True,False,True,Month-to-month,False,Mailed check,45.8,1147.0,1.5
81,0129-KPTWJ,False,Male,False,True,False,72,True,False,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,94.65,6747.35,3.11
82,0129-QMPDR,False,Male,False,True,True,44,True,False,No,False,False,False,False,False,False,One year,True,Bank transfer (automatic),20.5,865.05,0.67
83,0130-SXOUN,False,Male,False,False,False,66,True,True,Fiber optic,False,True,False,False,False,True,Month-to-month,False,Credit card (automatic),89.4,5976.9,2.94
84,0133-BMFZO,True,Female,False,False,False,2,True,False,Fiber optic,True,True,False,True,False,False,Month-to-month,True,Electronic check,86.25,181.65,2.83
85,0134-XWXCE,False,Female,True,False,False,44,True,False,DSL,False,False,True,True,True,True,One year,False,Bank transfer (automatic),74.85,3268.05,2.46
86,0135-NMXAP,True,Female,False,False,False,12,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.75,1052.4,2.95
87,0136-IFMYD,False,Male,True,True,False,69,True,True,Fiber optic,False,True,True,True,True,True,Two year,True,Electronic check,109.95,7634.25,3.61
88,0137-OCGAB,True,Female,False,False,False,1,True,True,Fiber optic,False,True,False,False,False,False,Month-to-month,True,Mailed check,80.2,80.2,2.63
89,0137-UDEUO,True,Female,False,False,False,3,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,19.85,63.75,0.65
90,0139-IVFJG,False,Female,False,True,False,2,True,False,Fiber optic,True,True,False,False,True,False,Month-to-month,False,Electronic check,90.35,190.5,2.97
91,0141-YEAYS,False,Female,True,False,False,27,True,True,Fiber optic,False,True,True,False,False,False,Month-to-month,True,Bank transfer (automatic),86.45,2401.05,2.84
92,0142-GVYSN,False,Male,False,False,False,26,True,False,No,False,False,False,False,False,False,Month-to-month,True,Electronic check,20.3,511.25,0.67
93,0147-ESWWR,False,Female,True,True,False,39,True,True,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Electronic check,101.25,3949.15,3.33
94,0148-DCDOS,True,Male,False,False,False,25,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Bank transfer (automatic),94.7,2362.1,3.11
95,0151-ONTOV,True,Female,False,False,False,1,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,False,Mailed check,70.9,70.9,2.33
97,0156-FVPTA,True,Male,False,True,False,22,True,False,DSL,True,False,False,True,False,False,Month-to-month,True,Electronic check,54.2,1152.7,1.78
99,0164-APGRB,False,Female,False,False,False,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,114.9,8496.7,3.77
100,0164-XAIRP,False,Female,False,False,False,24,True,False,No,False,False,False,False,False,False,Two year,True,Bank transfer (automatic),19.55,470.2,0.64
101,0168-XZKBB,False,Female,False,True,False,19,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,86.85,1564.4,2.85
102,0174-QRVVY,False,Male,False,True,True,71,True,True,No,False,False,False,False,False,False,Two year,False,Credit card (automatic),25.35,1847.55,0.83
103,0177-PXBAT,False,Male,True,True,False,33,True,True,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Bank transfer (automatic),109.9,3694.7,3.61
104,0178-CIIKR,False,Female,False,False,False,3,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,19.95,58.0,0.66
105,0178-SZBHO,False,Male,False,True,True,47,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,False,Electronic check,87.2,4017.45,2.86
106,0181-RITDD,False,Male,False,True,True,62,True,False,Fiber optic,True,True,True,True,True,True,Two year,False,Mailed check,108.15,6825.65,3.55
107,0186-CAERR,False,Male,False,False,False,71,True,True,Fiber optic,True,True,True,True,True,True,One year,True,Bank transfer (automatic),116.3,8309.55,3.82
108,0187-QSXOE,False,Male,True,True,False,7,True,False,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,89.0,605.45,2.92
109,0187-WZNAB,False,Female,False,True,True,27,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Mailed check,74.4,1972.35,2.44
110,0188-GWFLE,False,Male,False,False,False,2,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,20.05,33.7,0.66
111,0191-EQUUH,False,Female,False,False,True,25,False,False,DSL,True,False,False,True,False,False,Two year,False,Bank transfer (automatic),35.05,844.45,1.15
112,0191-ZHSKZ,False,Male,True,False,False,30,True,False,DSL,True,True,False,False,True,True,Month-to-month,True,Electronic check,74.75,2111.3,2.46
113,0193-ESZXP,True,Female,True,True,False,58,True,False,Fiber optic,True,True,False,True,True,True,One year,True,Credit card (automatic),105.5,6205.5,3.47
114,0195-IESCP,True,Male,False,True,False,10,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,85.25,855.3,2.8
115,0196-JTUQI,False,Female,False,False,False,9,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Credit card (automatic),75.2,633.85,2.47
116,0196-VULGZ,True,Female,True,True,False,6,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,84.35,474.9,2.77
117,0197-PNKNK,False,Female,False,True,True,69,True,True,Fiber optic,True,False,True,False,False,False,One year,False,Bank transfer (automatic),84.45,5848.6,2.77
118,0201-MIBOL,False,Female,True,False,False,66,True,True,Fiber optic,True,False,False,False,True,True,Two year,True,Bank transfer (automatic),102.4,6471.85,3.36
119,0201-OAMXR,True,Female,False,False,False,70,True,True,Fiber optic,True,True,True,True,True,True,One year,False,Credit card (automatic),115.55,8127.6,3.8
120,0203-HHYIJ,True,Male,False,False,False,25,True,True,No,False,False,False,False,False,False,One year,False,Bank transfer (automatic),25.3,676.35,0.83
121,0206-OYVOC,False,Female,False,True,True,46,True,False,No,False,False,False,False,False,False,Two year,True,Mailed check,19.25,864.2,0.63
122,0206-TBWLC,False,Female,False,True,False,54,True,True,Fiber optic,True,True,True,True,True,True,One year,True,Mailed check,114.65,6049.5,3.77
123,0207-MDKNV,True,Female,False,False,False,15,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,False,Electronic check,105.1,1582.75,3.45
124,0208-BPQEJ,False,Female,False,True,True,12,True,False,No,False,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),19.4,198.1,0.64
125,0212-ISBBF,False,Female,False,False,False,22,False,False,DSL,False,True,False,False,True,True,Month-to-month,True,Electronic check,50.35,1098.85,1.65
126,0214-JHPFW,False,Female,False,True,False,70,False,False,DSL,False,True,True,True,True,True,Two year,False,Bank transfer (automatic),57.8,4039.3,1.9
127,0215-BQKGS,False,Male,False,False,False,30,True,False,Fiber optic,True,True,True,False,False,False,Month-to-month,True,Credit card (automatic),84.3,2438.6,2.77
128,0218-QNVAS,False,Male,False,True,True,71,True,True,Fiber optic,False,True,False,False,True,True,One year,False,Bank transfer (automatic),100.55,7113.75,3.3
129,0219-QAERP,False,Male,False,True,False,30,True,False,No,False,False,False,False,False,False,One year,False,Credit card (automatic),19.8,576.65,0.65
130,0219-YTZUE,True,Male,False,True,True,4,True,True,Fiber optic,False,True,True,False,False,False,Month-to-month,True,Bank transfer (automatic),84.8,371.9,2.79
131,0220-EBGCE,True,Male,False,False,False,2,True,False,Fiber optic,False,False,True,False,False,True,Month-to-month,True,Electronic check,85.85,167.3,2.82
132,0221-NAUXK,False,Male,False,False,True,10,True,False,No,False,False,False,False,False,False,One year,True,Bank transfer (automatic),19.95,219.5,0.66
133,0221-WMXNQ,False,Male,True,False,False,4,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Electronic check,75.35,273.4,2.48
134,0222-CNVPT,False,Male,True,False,False,52,False,False,DSL,True,False,False,False,True,True,Month-to-month,True,Credit card (automatic),48.8,2555.05,1.6
135,0224-HJAPT,True,Male,False,False,False,5,True,True,DSL,False,False,False,False,False,False,Month-to-month,False,Electronic check,47.15,223.15,1.55
136,0224-NIJLP,False,Male,False,True,True,8,True,False,No,False,False,False,False,False,False,Two year,False,Mailed check,20.15,165.5,0.66
137,0224-RLWWD,False,Female,True,False,False,2,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,44.3,89.3,1.46
138,0225-ZORZP,False,Male,False,False,False,3,True,False,Fiber optic,False,True,False,False,False,True,Month-to-month,False,Electronic check,84.3,235.05,2.77
139,0228-MAUWC,False,Male,False,False,False,19,True,True,DSL,False,False,True,True,False,False,Month-to-month,False,Electronic check,59.55,1144.6,1.96
140,0229-LFJAF,False,Male,False,False,False,72,True,True,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),69.65,4908.25,2.29
141,0230-UBYPQ,False,Male,True,True,False,63,False,False,DSL,True,False,False,True,False,False,One year,False,Bank transfer (automatic),36.1,2298.9,1.19
142,0230-WEQUW,False,Male,False,True,False,66,False,False,DSL,True,True,True,True,True,False,Two year,True,Bank transfer (automatic),56.6,3789.2,1.86
143,0231-LXVAP,True,Male,False,False,False,1,True,False,Fiber optic,False,False,False,True,False,False,Month-to-month,True,Electronic check,75.9,75.9,2.49
144,0233-FTHAV,False,Female,False,False,False,60,True,True,Fiber optic,False,False,True,False,False,False,One year,True,Bank transfer (automatic),79.2,4765.0,2.6
145,0234-TEVTT,False,Female,False,True,True,48,False,False,DSL,True,False,True,False,False,True,One year,False,Credit card (automatic),45.0,2196.3,1.48
146,0235-KGSLC,True,Female,False,False,False,1,True,False,Fiber optic,False,False,True,False,True,False,Month-to-month,True,Credit card (automatic),85.55,85.55,2.81
147,0236-HFWSV,True,Male,False,False,False,15,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,93.35,1444.65,3.07
148,0237-YFUTL,False,Female,False,True,False,50,True,True,Fiber optic,True,True,False,True,True,True,Month-to-month,True,Bank transfer (automatic),109.65,5405.8,3.6
149,0238-WHBIQ,False,Male,False,True,True,72,True,True,DSL,True,True,True,True,True,True,Two year,False,Credit card (automatic),89.7,6339.3,2.95
150,0239-OXEXL,False,Female,False,False,False,46,True,True,Fiber optic,True,True,False,False,False,False,Month-to-month,False,Mailed check,84.25,3847.6,2.77
151,0244-LGNFY,False,Female,False,True,True,72,True,True,DSL,True,True,True,True,True,True,Two year,False,Bank transfer (automatic),92.65,6733.0,3.04
152,0247-SLUJI,False,Male,False,True,True,1,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,19.7,19.7,0.65
153,0248-IPDFW,False,Female,False,False,False,1,True,True,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,50.1,50.1,1.65
154,0248-PGHBZ,False,Female,True,False,False,67,True,False,Fiber optic,True,True,False,True,True,False,Two year,True,Bank transfer (automatic),92.45,6140.85,3.04
155,0253-ZTEOB,False,Female,False,True,True,48,True,True,DSL,False,True,False,True,True,True,Two year,False,Electronic check,79.65,3870.3,2.62
156,0254-FNMCI,False,Female,False,False,False,72,True,False,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,109.9,7624.2,3.61
157,0254-KCJGT,False,Male,False,True,False,52,True,True,DSL,True,True,True,True,False,True,One year,True,Credit card (automatic),81.4,4354.45,2.67
158,0254-WWRKD,False,Female,False,True,True,67,True,False,DSL,False,True,False,False,False,False,One year,False,Credit card (automatic),50.55,3431.75,1.66
159,0256-LTHVJ,True,Female,False,True,True,28,True,False,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,81.05,2227.1,2.66
160,0257-KXZGU,False,Female,False,True,True,32,True,True,DSL,False,True,True,False,False,False,Month-to-month,False,Bank transfer (automatic),62.45,2045.55,2.05
161,0257-ZESQC,True,Female,True,True,False,27,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),75.2,1929.35,2.47
162,0258-NOKBL,False,Male,False,False,False,3,True,False,Fiber optic,False,True,True,False,False,True,Month-to-month,False,Electronic check,90.4,268.45,2.97
163,0259-GBZSH,True,Male,False,False,False,2,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,85.65,181.5,2.81
164,0260-ZDLGK,True,Female,False,False,True,9,True,False,DSL,False,False,True,True,True,True,Month-to-month,True,Mailed check,72.9,651.4,2.39
165,0263-FJTQO,False,Male,False,True,True,50,True,True,DSL,True,False,False,True,True,False,Two year,True,Credit card (automatic),70.5,3486.65,2.32
166,0264-CNITK,False,Female,False,True,True,71,True,False,No,False,False,False,False,False,False,Two year,False,Bank transfer (automatic),20.1,1389.6,0.66
167,0265-EDXBD,True,Male,True,True,False,32,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,74.9,2303.35,2.46
168,0265-PSUAE,False,Female,False,True,True,16,True,False,Fiber optic,True,False,True,False,True,True,Month-to-month,False,Bank transfer (automatic),100.7,1522.7,3.31
169,0266-CLZKZ,False,Female,False,True,True,67,True,True,Fiber optic,False,False,True,True,True,True,Two year,True,Bank transfer (automatic),105.65,6717.9,3.47
170,0266-GMEAO,False,Male,False,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Credit card (automatic),114.3,8058.55,3.75
171,0268-QKIWO,True,Female,False,False,False,3,True,False,No,False,False,False,False,False,False,Month-to-month,False,Electronic check,19.75,58.85,0.65
172,0269-XFESX,False,Male,False,True,True,23,True,True,No,False,False,False,False,False,False,One year,False,Mailed check,24.35,538.5,0.8
173,0270-THENM,False,Male,False,True,True,72,True,True,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),69.85,5102.35,2.29
174,0274-JKUJR,False,Male,False,True,True,7,False,False,DSL,True,True,True,False,True,True,Month-to-month,False,Mailed check,58.85,465.7,1.93
176,0277-BKSQP,False,Male,False,True,True,8,True,False,DSL,False,False,False,False,True,False,Month-to-month,True,Electronic check,54.4,475.1,1.79
177,0277-ORXQS,False,Male,False,True,True,66,False,False,DSL,False,False,False,True,True,True,Two year,False,Bank transfer (automatic),50.55,3364.55,1.66
178,0278-YXOOG,True,Male,False,False,False,5,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,21.05,113.85,0.69
179,0280-XJGEX,True,Male,False,False,False,49,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),103.7,5036.3,3.41
180,0281-CNTZX,False,Male,False,True,False,63,True,False,No,False,False,False,False,False,False,Two year,True,Bank transfer (automatic),19.95,1234.8,0.66
181,0282-NVSJS,False,Female,True,True,True,12,False,False,DSL,False,False,False,True,False,False,Month-to-month,True,Mailed check,29.3,355.9,0.96
182,0285-INHLN,False,Male,False,True,True,27,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Credit card (automatic),54.75,1510.3,1.8
183,0289-IVARM,False,Female,False,False,False,35,True,False,DSL,True,True,True,False,False,False,Month-to-month,False,Electronic check,60.55,1982.6,1.99
184,0292-WEGCH,False,Female,False,True,True,54,True,True,DSL,False,True,True,True,True,True,Month-to-month,True,Electronic check,86.2,4524.05,2.83
185,0295-PPHDO,True,Male,False,False,False,1,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,95.45,95.45,3.14
186,0295-QVKPB,False,Male,False,False,False,5,True,False,DSL,False,False,True,True,True,False,Month-to-month,True,Credit card (automatic),63.95,318.1,2.1
187,0297-RBCSG,False,Male,False,False,False,19,True,False,DSL,False,True,False,True,False,True,One year,True,Bank transfer (automatic),65.35,1231.85,2.15
188,0298-XACET,False,Male,False,True,True,52,False,False,DSL,False,True,True,True,True,False,Two year,False,Mailed check,50.2,2554.0,1.65
189,0301-FIDRB,False,Female,False,True,True,72,False,False,DSL,True,True,True,True,True,True,Two year,True,Bank transfer (automatic),63.8,4684.3,2.1
190,0301-KOBTQ,False,Male,False,False,False,32,True,False,No,False,False,False,False,False,False,Two year,True,Bank transfer (automatic),20.05,614.45,0.66
191,0302-JOIVN,True,Female,False,True,False,8,True,False,Fiber optic,False,True,True,False,True,True,Month-to-month,False,Electronic check,101.15,842.9,3.32
